,Itemmo,type,fname,calories,moisture,protein,crudefat,saturatedfat,carbonhydrates,fiber,sugar,lactose,minerals,vitamina,vitamine,vitaminb,vitaminc,cholesterol
44,A045,藻類,海帶,14,93.8,0.8,0.1,0.0,4.3,2.8,0.0,0.0,0.38110000000000005,7.86e-05,0.00013000000000000002,0.038060000000000004,0.0001,0.0
45,A046,水果類,葡萄,57,83.7,0.5,0.2,0.0,15.3,0.4,0.0,0.0,0.1814,0.0001518,0.00023,0.00015,0.0032,0.0
46,A047,水果類,草莓,36,89.0,1.0,0.2,0.1,9.3,1.8,6.1,0.0,0.25939999999999996,7.499999999999999e-06,0.00047999999999999996,0.0837,0.0692,0.0
47,A048,水果類,橙,42,87.2,0.8,0.2,0.1,11.4,2.0,9.6,0.0,0.2214,6.3e-06,0.00023999999999999998,0.0067599999999999995,0.056799999999999996,0.0
48,A049,蔬菜類,番茄,17,94.5,0.8,0.1,0.0,4.1,1.0,2.2,0.0,0.2626,0.0005076,0.00069,0.00054,0.014,0.0
49,A050,水果類,蘋果,49,85.6,0.2,0.1,0.0,13.9,1.3,11.1,0.0,0.1325,3.6e-06,0.00011,0.00011999999999999999,0.0029,0.0
50,A051,水果類,芒果,48,86.0,0.6,0.2,0.1,13.0,1.2,9.8,0.0,0.1535,0.0005595,0.0012,0.027809999999999998,0.022699999999999998,0.0
51,A052,水果類,木瓜,36,89.1,0.6,0.1,0.0,9.9,1.4,6.2,0.0,0.2385,0.0001995,0.0003,0.0479,0.0583,0.0
52,A053,水果類,香蕉,82,75.7,1.5,0.1,0.0,22.1,1.6,18.0,0.0,0.4209,9e-07,0.0003,0.01648,0.0107,0.0
53,A054,水果類,芭樂,33,88.9,0.7,0.1,0.0,9.8,3.3,5.2,0.0,0.1745,1.53e-05,0.00025,0.05651,0.1379,0.0
